latitude,longitude,name,color
34.028367419354836,-81.2527027051282,,#FFF00
34.02861643369176,-81.2527027051282,,#FFF00
34.03249394265233,-81.24614528205129,,#FFF00
34.02459663082438,-81.24614528205129,,#FFF00
34.02381401433692,-81.23963071794871,,#FFF00
34.03249394265233,-81.23963071794871,,#FFF00
34.03256508960573,-81.2350448076923,,#FFF00
34.025450394265235,-81.2350448076923,,#FFF00
34.02701562724015,-81.23050175641026,,#FFF00
34.03249394265233,-81.23050175641026,,#FFF00
34.02762037634409,-81.2304588974359,,#FFF00
34.03249394265233,-81.2304588974359,,#FFF00
34.03178247311828,-81.2285731025641,,#FFF00
34.03160460573477,-81.2285731025641,,#FFF00
34.02762037634409,-81.2304588974359,,#FFF00
34.026410878136204,-81.2304588974359,,#FFF00
34.02456105734767,-81.22527296153847,,#FFF00
34.02431204301075,-81.22527296153847,,#FFF00
34.02086141577061,-81.2304588974359,,#FFF00
34.026410878136204,-81.2304588974359,,#FFF00
34.02082584229391,-81.23050175641026,,#FFF00
34.02701562724015,-81.23050175641026,,#FFF00
34.025450394265235,-81.2350448076923,,#FFF00
34.01879815412187,-81.2350448076923,,#FFF00
34.01680603942653,-81.23958785897436,,#FFF00
34.02363614695341,-81.23958785897436,,#FFF00
34.017090627240144,-81.24258798717949,,#FFF00
34.01698390681004,-81.24258798717949,,#FFF00
34.02342270609319,-81.23963071794871,,#FFF00
34.02377844086022,-81.23963071794871,,#FFF00
34.02463220430108,-81.24618814102564,,#FFF00
34.02196419354839,-81.24618814102564,,#FFF00
34.02808283154122,-81.2527027051282,,#FFF00
34.028367419354836,-81.2527027051282,,#FFF00
